point,dateBegin,dateEnd,time,contact,phone,event,url
子龍廟永昌宮,2021-01-02,2021-01-02,9時至17時,林先生,7262348,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
子龍廟永昌宮,2021-02-12,2021-02-13,9時至21時,林先生,7262348,七星平安橋改運活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
子龍廟永昌宮,2021-03-06,2021-03-06,7時至17時,林先生,7262348,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7749566
子龍廟永昌宮,2021-03-24,2021-03-26,7時至20時,林先生,7262348,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
九龍殿,2021-01-02,2021-01-31,19時至21時,陳先生,7221215,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
九龍殿,2021-04-09,2021-04-11,7時至21時,陳先生,7221215,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
福安宮,2020-05-28,2020-05-28,8時至22時,張先生,7892821,聖誕廟會活動&nbsp;,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7673107
聖帝殿,2020-07-01,2020-07-05,7時至21時,陳先生,7227642,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7683756
佳里邱家,2020-07-05,2020-07-05,10時至22時,邱先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7683756
四安宮,2020-07-12,2020-07-12,7時至21時,吳先生,7227571,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
四安宮,2020-09-13,2020-09-13,8時至22時,吳先生,7229571,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
鎮南宮,2020-07-12,2020-07-12,7時至21時,黃先生,7228781,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
鎮山宮,2020-07-12,2020-07-12,7時至21時,林先生,7229307,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
北極玄天宮,2020-07-12,2020-07-12,7時至21時,蔡先生,7224499,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
池王宮,2020-07-19,2020-07-19,7時至21時,林先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
池王宮,2021-02-15,2021-02-15,19時至21時,林先生,7210674,七星平安橋改運活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
池王宮,2021-05-09,2021-05-09,14時至15時,蔡先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7762329
池王宮,2021-05-28,2021-05-28,11時至13時,蔡先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
